"sales_id","sales_person_id","customer_id","product_id","quantity","sale_date"
1,17,10482,500,500,1992-11-12
2,5,1964,306,810,1992-12-12
3,8,12300,123,123,1992-10-08
4,1,4182,437,437,1992-12-02
5,14,15723,246,750,1992-11-19
6,14,6000,60,60,1992-10-04
7,5,17541,373,373,1992-09-24
8,20,9423,183,687,1992-10-22
9,1,1,1,10,1992-12-06
10,11,11241,310,310,1992-12-14
11,2,3023,119,623,1992-12-12
12,17,14664,433,937,1992-10-20
13,20,5241,250,250,1992-10-02
14,8,16482,56,560,1992-09-23
15,22,8264,369,873,1992-11-21
16,3,18700,187,187,1992-12-11
17,17,10482,500,500,1992-12-01
18,5,1964,306,810,1992-09-28
19,8,12300,123,123,1992-10-30
20,1,4182,437,437,1992-12-08
21,14,15723,246,750,1992-10-28
22,14,6000,60,60,1992-12-19
23,5,17541,373,373,1992-12-12
24,20,9423,183,687,1992-11-08
25,1,1,1,26,1992-09-21
26,11,11241,310,310,1992-11-29
27,2,3023,119,623,1992-11-13
28,17,14664,433,937,1992-11-26
29,20,5241,250,250,1992-12-05
30,15,19482,86,590,1992-10-19
31,6,11264,399,903,1992-09-29
32,10,1941,217,217,1992-10-31
33,1,13482,26,530,1992-09-28
34,12,4964,336,840,1992-12-13
35,15,15300,153,153,1992-10-03
36,7,7182,467,467,1992-12-18
37,21,18723,276,780,1992-10-07
38,21,9000,90,90,1992-12-11
39,12,782,403,403,1992-09-26
40,4,12423,213,717,1992-10-09
41,7,3000,30,30,1992-12-29
42,18,14241,340,340,1992-09-26
43,9,6023,149,653,1992-12-01
44,1,17664,463,967,1992-10-01
45,4,8241,280,280,1992-09-25
46,15,19482,86,590,1992-11-11
47,6,11264,399,903,1992-12-20
48,10,1941,217,217,1992-10-12
49,1,13482,26,530,1992-12-01
50,12,4964,336,840,1992-12-02
51,15,15300,153,153,1992-11-28
52,7,7182,467,467,1992-09-23
53,21,18723,276,780,1992-11-01
54,21,9000,90,90,1992-10-10
55,12,782,403,403,1992-12-07
56,4,12423,213,717,1992-12-09
57,7,3000,30,30,1992-11-05
58,18,14241,340,340,1992-11-26
59,9,6023,149,653,1992-10-07
60,1,17664,463,967,1992-12-28
61,4,8241,280,280,1992-11-12
62,15,19482,86,590,1992-12-06
63,6,11264,399,903,1992-12-05
64,10,1941,217,217,1992-10-25
65,1,13482,26,530,1992-09-23
66,12,4964,336,840,1992-12-10
67,15,15300,153,153,1992-11-14
68,7,7182,467,467,1992-12-01
69,21,18723,276,780,1992-11-21
70,21,9000,90,90,1992-10-16
71,12,782,403,403,1992-11-28
72,4,12423,213,717,1992-10-30
73,7,3000,30,30,1992-12-26
74,18,14241,340,340,1992-09-25
75,9,6023,149,653,1992-12-12
76,1,17664,463,967,1992-12-29
77,4,8241,280,280,1992-12-20
78,15,19482,86,590,1992-10-19
79,6,11264,399,903,1992-10-15
80,10,1941,217,217,1992-10-11
81,8,16482,56,560,1992-11-07
82,22,8264,369,873,1992-11-10
83,3,18700,187,187,1992-11-20
84,17,10482,500,500,1992-12-28
85,5,1964,306,810,1992-09-26
86,8,12300,123,123,1992-09-22
87,1,4182,437,437,1992-09-24
88,14,15723,246,750,1992-11-05
89,14,6000,60,60,1992-10-06
90,22,19241,390,390,1992-10-21
91,10,10723,196,700,1992-09-22
92,13,1300,13,13,1992-10-16
93,5,12941,327,327,1992-10-09
94,19,4723,136,640,1992-10-23
95,7,15964,446,950,1992-10-18
96,10,6541,263,263,1992-10-10
97,2,18182,73,577,1992-10-14
98,16,9964,386,890,1992-10-11
99,16,241,200,200,1992-11-15
100,7,11782,9,513,1992-12-12
101,22,3664,323,827,1992-12-28
102,2,15300,153,140,1992-11-10
103,7,7182,467,467,1992-11-19
